"","x"
"usa",1395
"germany",689
"not stated",455
"united kingdom",368
"canada",157
"russian federation",155
"australia",139
"france",135
"india",122
"austria",94
"brazil",83
"norway",66
"netherlands",58
"spain",53
"ukraine",52
"italy",51
"poland",49
"new zealand",42
"sweden",40
"china",39
"switzerland",39
"romania",31
"denmark",29
"finland",28
"hungary",26
"israel",24
"portugal",21
"argentina",20
"indonesia",18
"ireland",18
"mexico",18
"croatia",17
"japan",16
"belarus",15
"belgium",15
"south africa",15
"korea",12
"slovakia",12
"bulgaria",11
"turkey",10
"czech republic",9
"greece",9
"iran",9
"philippines",9
"taiwan",8
"iceland",7
"singapore",7
"colombia",6
"slovenia",6
"chile",5
"hong kong",5
"malaysia",5
"pakistan",5
"guatemala",4
"thailand",4
"bahrain",3
"catalonia",3
"egypt",3
"kazakhstan",3
"lebanon",3
"lithuania",3
"luxembourg",3
"moldova",3
"serbia",3
"venezuela",3
"vietnam",3
"bavaria",2
"caracas",2
"costa rica",2
"morocco",2
"nepal",2
"peru",2
"sri lanka",2
"uganda",2
"united arab emirates",2
"zimbabwe",2
" macedonia",1
" moldova",1
"afghanistan",1
"azerbaijan",1
"bahamas",1
"bamberg",1
"barquisimeto",1
"bosnia and herzegovina",1
"cananda",1
"d",1
"dominican republic",1
"east germany",1
"eastern europe",1
"ee",1
"el salvador",1
"estonia",1
"ethiopia",1
"eu",1
"europa",1
"europe",1
"fiji",1
"fushun",1
"gb",1
"(Other)",34
