canada,124
usa,12
united kingdom,9
india,5
russian federation,5
china,2
france,2
germany,2
hungary,2
iran,2
romania,2
 macedonia,1
bahrain,1
brazil,1
croatia,1
ireland,1
italy,1
not stated,1
pakistan,1
serbia,1
south afica,1
south africa,1

## australia:

australia,117
united kingdom,21
new zealand,7
india,4
indonesia,4
usa,4
china,3
malaysia,2
canada,1
croatia,1
el salvador,1
fiji,1
germany,1
iceland,1
iraq,1
nepal,1
netherlands,1
poland,1
russian federation,1
singapore,1
slovenia,1
sweden,1
thailand,1
vietnam,1
