OS,Count,Percent
Linux_._redhat_q.centos,1535, 32
Linux_._debian,1217, 25
Linux_._ubuntu,1133, 23
Windows_XP,850, 18
Unix_._Solaris,601, 12
Linux_._suse,474, 10
Linux_._other,468, 10
Linux_._fedora,465, 10
Windows_2003_server,443, 9
Windows_7,370, 8
Mac_OS_X_for_personal_computers,405, 8
BSD_._freebsd,348, 7
Windows_Vista,310, 6
Linux_._gentoo,274, 6
Unix_._HPUX,167, 3
Windows_2k,164, 3
Unix_._AIX,163, 3
Mac_OS_X_Server,118, 2
BSD_._openbsd,105, 2
Other,99, 2
Windows_NT,94, 2
Android,69, 1
BSD_._netbsd,52, 1
Unix_._Other,50, 1
Mac_OS_X_for_iPhone.iPod_Touch,48, 1
Windows_98,39, 1
VMS,36, 1
MSDOS,34, 1
Unix_._Tru64,25, 1
Unix_._IRIX,30, 1
Amiga,24, 0
Apollo,24, 0
Windows_95,20, 0
BeOS,19, 0
Windows_ME,16, 0
Windows_CE,15, 0
Unix_._DG.UX,9, 0
RiscOS,4, 0
Macos_.pre_OS_X.,11, 0
OS.2,7, 0
OS.400,7, 0
Windows_3.1,7, 0
Unix_._NeXT,6, 0
GNU_Hurd,6, 0
QNX,6, 0
MVS,5, 0
OS.390,5, 0
Bs2000,5, 0
Plan_9,4, 0
RiscOS,4, 0
Palm_OS,3, 0
EPOC,2, 0
Minix,1, 0
