Editor,Count,Percent
Anjuta,30, 1
BBEdit,54, 1
Crimson,32, 1
DzSoft_Perl,13, 0
Eclipse_EPIC,268, 6
EditPlus,42, 1
Emacs,257, 5
EngInSite.Perl,2, 0
Far,22, 0
Geany,59, 1
Gedit,229, 5
Gvim,235, 5
JEdit,49, 1
Jed,10, 0
Joe,42, 1
KDevelop,27, 1
KEdit,57, 1
Kate,112, 2
Kephra,2, 0
Komodo_Edit,100, 2
Komodo_IDE,81, 2
Mcedit,41, 1
Nano,164, 3
NEdit,29, 1
Notepad,224, 5
Notepad..,289, 6
Notepad2,21, 0
Open_Perl_IDE,17, 0
OptiPerl,5, 0
PSPad,31, 1
Padre,182, 4
Perl_Express,5, 0
PerlWiz,2, 0
Pico,51, 1
SciTE,62, 1
SlickEdit,6, 0
Smultron,17, 0
TextMate,78, 2
TextPad,74, 2
TextWrangler,39, 1
Ultra_Edit_,116, 2
Vi,626, 13
Vim,825, 17
Xemacs,81, 2
